spot,pattern,level,work,players,hands,pct_hands,flop_hands,preflop_hands,pct_sees_flop,avg_pot_bb
"UTG open, HJ 3bet, SB 4bet","open, 3bet, 4bet",4bet,mixed,3,1002,0.0110,18,984,1.80,18.68
"UTG open, BU call, BB 3bet, BU call","open, call, 3bet, call",3bet,postflop,3,984,0.0108,981,3,99.70,66.02
"UTG open, HJ 3bet, BU call","open, 3bet, call",3bet,postflop,3,981,0.0108,972,9,99.08,51.79
"HJ open, BU 3bet, HJ 4bet, BU 5bet, HJ call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,973,0.0107,724,249,74.41,183.99
"UTG open, BU 3bet, BB 4bet","open, 3bet, 4bet",4bet,preflop only,3,972,0.0107,3,969,0.31,16.55
"UTG open, CO 3bet, BB 4bet","open, 3bet, 4bet",4bet,mixed,3,969,0.0107,15,954,1.55,18.00
"HJ open, CO 3bet, SB 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,3,959,0.0105,924,35,96.35,102.45
"CO open, BU call, SB 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,957,0.0105,952,5,99.48,68.58
"CO limp, SB iso","limp, iso",SRP,preflop only,2,955,0.0105,0,955,0.00,3.00
"HJ open, CO call, BU 3bet, HJ call, CO call","open, call, 3bet, call, call",3bet,postflop,3,955,0.0105,955,0,100.00,72.53
"HJ open, BU 3bet, SB call","open, 3bet, call",3bet,postflop,3,954,0.0105,950,4,99.58,45.25
"UTG limp, HJ limp, BB check","limp, limp, check",limped,postflop,3,953,0.0105,953,0,100.00,14.56
"HJ open, BU 3bet, SB 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,3,945,0.0104,916,29,96.93,103.45
"HJ open, CO 3bet, BU 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,3,940,0.0103,918,22,97.66,85.36
"UTG open, CO 3bet, BU call","open, 3bet, call",3bet,postflop,3,925,0.0102,920,5,99.46,51.07
"UTG open, CO call, SB 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,920,0.0101,914,6,99.35,61.00
"UTG open, BU 3bet, BB call","open, 3bet, call",3bet,postflop,3,918,0.0101,915,3,99.67,47.31
"HJ open, BU call, SB 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,918,0.0101,909,9,99.02,68.46
"CO open, BU call, SB 3bet, CO call, BU call","open, call, 3bet, call, call",3bet,postflop,3,917,0.0101,917,0,100.00,89.24
"UTG open, BB 3bet, UTG 4bet","open, 3bet, 4bet",4bet,preflop only,2,916,0.0101,0,916,0.00,17.30
"UTG open, CO 3bet, UTG 4bet, CO 5bet, UTG call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,914,0.0101,717,197,78.45,179.70
"UTG open, HJ call, BB 3bet","open, call, 3bet",3bet,preflop only,3,910,0.0100,2,908,0.22,7.19
"UTG open, CO call, BU 3bet, UTG call, CO call","open, call, 3bet, call, call",3bet,postflop,3,903,0.0099,903,0,100.00,78.86
"HJ open, BU 3bet, BB 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,3,895,0.0098,857,38,95.75,101.18
"UTG open, HJ call, CO 3bet, UTG call, HJ call","open, call, 3bet, call, call",3bet,postflop,3,895,0.0098,895,0,100.00,74.94
"HJ limp, SB iso","limp, iso",SRP,preflop only,2,886,0.0097,0,886,0.00,3.00
"UTG open, HJ 3bet, SB call","open, 3bet, call",3bet,postflop,3,886,0.0097,882,4,99.55,47.20
"HJ open, SB call, BB 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,879,0.0097,877,2,99.77,67.61
"BU limp, BB iso","limp, iso",SRP,preflop only,2,878,0.0097,0,878,0.00,2.44
"UTG open, BU call, SB 3bet, UTG call","open, call, 3bet, call",3bet,mixed,3,872,0.0096,863,9,98.97,72.18
"HJ open, CO 3bet, BB 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,3,872,0.0096,850,22,97.48,101.09
"HJ open, BU call, SB 3bet, HJ call, BU call","open, call, 3bet, call, call",3bet,postflop,3,862,0.0095,862,0,100.00,89.78
"HJ open, SB call, BB 3bet, SB call","open, call, 3bet, call",3bet,postflop,3,856,0.0094,853,3,99.65,60.87
"BU open, SB call, BB 3bet, BU call, SB call","open, call, 3bet, call, call",3bet,postflop,3,852,0.0094,852,0,100.00,77.26
"UTG limp, CO iso, BB call, UTG call","limp, iso, call, call",SRP,postflop,3,852,0.0094,852,0,100.00,31.09
"UTG open, SB 3bet, BB call, UTG call","open, 3bet, call, call",3bet,postflop,3,847,0.0093,847,0,100.00,69.58
"CO open, SB 3bet, BB 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,3,843,0.0093,804,39,95.37,101.95
"HJ open, CO call, BB 3bet, CO call","open, call, 3bet, call",3bet,mixed,3,842,0.0093,833,9,98.93,61.76
"HJ open, SB 3bet, BB 4bet","open, 3bet, 4bet",4bet,mixed,3,833,0.0092,18,815,2.16,21.61
"UTG open, BU 3bet, UTG 4bet, BU 5bet, UTG call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,832,0.0091,641,191,77.04,182.31
"UTG limp, SB iso","limp, iso",SRP,preflop only,2,825,0.0091,0,825,0.00,3.00
"UTG open, BU call, SB 3bet, UTG call, BU call","open, call, 3bet, call, call",3bet,postflop,3,823,0.0091,823,0,100.00,80.92
"UTG open, HJ call, SB 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,818,0.0090,811,7,99.14,69.11
"UTG open, HJ 3bet, CO call","open, 3bet, call",3bet,postflop,3,816,0.0090,812,4,99.51,50.65
"UTG open, CO 3bet, BU 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,3,813,0.0089,788,25,96.92,90.15
"UTG open, SB call, BB 3bet, UTG call","open, call, 3bet, call",3bet,mixed,3,804,0.0088,791,13,98.38,69.14
"HJ open, SB 3bet, BB call","open, 3bet, call",3bet,postflop,3,796,0.0088,791,5,99.37,58.85
"HJ open, SB 3bet, HJ 4bet, SB 5bet, HJ call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,795,0.0087,584,211,73.46,188.81
"UTG limp, HJ iso, BB call, UTG call","limp, iso, call, call",SRP,postflop,3,793,0.0087,793,0,100.00,30.44
"HJ limp, BU iso, BB call, HJ call","limp, iso, call, call",SRP,postflop,3,788,0.0087,788,0,100.00,29.53
"UTG open, SB call, BB 3bet, SB call","open, call, 3bet, call",3bet,postflop,3,787,0.0087,783,4,99.49,60.26
"UTG open, CO call, BU call, SB call","open, call, call, call",SRP,postflop,4,769,0.0085,769,0,100.00,33.95
"UTG open, HJ 3bet, SB 4bet, HJ call","open, 3bet, 4bet, call",4bet,mixed,3,766,0.0084,735,31,95.95,100.64
"HJ limp, CO iso, BB call, HJ call","limp, iso, call, call",SRP,postflop,3,761,0.0084,761,0,100.00,33.84
"UTG limp, BU limp, SB limp, BB check","limp, limp, limp, check",limped,postflop,4,761,0.0084,761,0,100.00,25.01
"UTG limp, BU iso, BB call, UTG call","limp, iso, call, call",SRP,postflop,3,760,0.0084,760,0,100.00,34.81
"CO limp, BU iso, BB call, CO call","limp, iso, call, call",SRP,postflop,3,759,0.0083,759,0,100.00,33.71
"UTG open, CO call, BB 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,758,0.0083,754,4,99.47,64.04
"CO open, BB 3bet, CO 4bet, BB 5bet, CO call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,756,0.0083,557,199,73.68,190.77
"UTG open, CO 3bet, SB call","open, 3bet, call",3bet,postflop,3,755,0.0083,751,4,99.47,48.09
"UTG open, CO 3bet, BB 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,3,747,0.0082,723,24,96.79,110.18
"UTG open, CO 3bet, SB 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,3,739,0.0081,713,26,96.48,100.88
"UTG open, HJ 3bet, CO 4bet, HJ call","open, 3bet, 4bet, call",4bet,mixed,3,734,0.0081,718,16,97.82,91.13
"UTG open, SB call, BB 3bet, UTG call, SB call","open, call, 3bet, call, call",3bet,postflop,3,731,0.0080,731,0,100.00,80.22
"UTG open, HJ call, BU 3bet, UTG call, HJ call","open, call, 3bet, call, call",3bet,postflop,3,731,0.0080,731,0,100.00,72.56
"BU open, BB 3bet, BU 4bet, BB 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,729,0.0080,0,729,0.00,45.61
"CO open, SB call, BB 3bet, CO call, SB call","open, call, 3bet, call, call",3bet,postflop,3,727,0.0080,727,0,100.00,84.24
"UTG open, BU 3bet, SB 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,3,722,0.0079,702,20,97.23,99.19
"HJ open, SB call, BB 3bet, HJ call, SB call","open, call, 3bet, call, call",3bet,postflop,3,720,0.0079,720,0,100.00,78.96
"UTG open, SB 3bet, UTG 4bet, SB 5bet, UTG call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,710,0.0078,533,177,75.07,183.91
"HJ open, BU call, BB 3bet, HJ call, BU call","open, call, 3bet, call, call",3bet,postflop,3,707,0.0078,707,0,100.00,84.70
"HJ open, BU call, BB 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,705,0.0078,699,6,99.15,68.13
"HJ open, CO call, BU call, SB call","open, call, call, call",SRP,postflop,4,699,0.0077,699,0,100.00,39.97
"UTG open, BU 3bet, BB 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,3,683,0.0075,661,22,96.78,104.66
"HJ open, CO 3bet, HJ 4bet, CO 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,679,0.0075,0,679,0.00,41.68
"UTG open, HJ 3bet, BB 4bet, HJ call","open, 3bet, 4bet, call",4bet,mixed,3,679,0.0075,658,21,96.91,100.68
"UTG open, HJ call, BU call, SB call","open, call, call, call",SRP,postflop,4,675,0.0074,675,0,100.00,39.94
"HJ open, CO call, BU 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,671,0.0074,670,1,99.85,60.78
"UTG open, BU call, BB 3bet, UTG call, BU call","open, call, 3bet, call, call",3bet,postflop,3,671,0.0074,671,0,100.00,86.76
"UTG open, HJ 3bet, BU 4bet, HJ call","open, 3bet, 4bet, call",4bet,mixed,3,667,0.0073,650,17,97.45,92.82
"HJ limp, BU limp, SB limp, BB check","limp, limp, limp, check",limped,postflop,4,665,0.0073,665,0,100.00,24.51
"CO open, BU call, BB 3bet, CO call","open, call, 3bet, call",3bet,postflop,3,658,0.0072,656,2,99.70,71.41
"UTG open, BU 3bet, SB call","open, 3bet, call",3bet,postflop,3,658,0.0072,652,6,99.09,49.50
"CO open, BU call, BB 3bet, CO call, BU call","open, call, 3bet, call, call",3bet,postflop,3,657,0.0072,657,0,100.00,84.97
"UTG open, BU call, BB 3bet, UTG call","open, call, 3bet, call",3bet,postflop,3,640,0.0070,636,4,99.38,71.72
"CO limp, BU limp, SB limp, BB check","limp, limp, limp, check",limped,postflop,4,637,0.0070,637,0,100.00,19.96
"HJ open, BB 3bet, HJ 4bet, BB 5bet, HJ call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,630,0.0069,462,168,73.33,183.13
"UTG open, CO call, BU 3bet, UTG call","open, call, 3bet, call",3bet,postflop,3,625,0.0069,620,5,99.20,56.13
"HJ open, BU 3bet, HJ 4bet, BU 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,618,0.0068,0,618,0.00,42.06
"UTG open, HJ call, BB 3bet, HJ call","open, call, 3bet, call",3bet,postflop,3,618,0.0068,614,4,99.35,63.77
"CO open, SB 3bet, CO 4bet, SB 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,617,0.0068,0,617,0.00,46.13
"HJ open, CO call, SB 3bet, HJ call, CO call","open, call, 3bet, call, call",3bet,postflop,3,611,0.0067,611,0,100.00,78.74
"UTG open, CO call, SB 3bet, UTG call, CO call","open, call, 3bet, call, call",3bet,postflop,3,607,0.0067,607,0,100.00,82.28
"UTG open, SB 3bet, BB call","open, 3bet, call",3bet,postflop,3,585,0.0064,580,5,99.15,63.24
"HJ open, CO call, SB 3bet, HJ call","open, call, 3bet, call",3bet,mixed,3,578,0.0064,569,9,98.44,72.01
"UTG open, CO 3bet, UTG 4bet, CO 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,567,0.0062,0,567,0.00,41.61
"UTG open, BB 3bet, UTG 4bet, BB 5bet, UTG call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,2,565,0.0062,446,119,78.94,179.80
"CO limp, BB iso","limp, iso",SRP,preflop only,2,557,0.0061,0,557,0.00,2.43
"BU open, SB 3bet, BB 4bet, SB 5bet, BB call","open, 3bet, 4bet, 5bet, call",5bet+,mixed,3,541,0.0059,391,150,72.27,184.93
"HJ open, SB 3bet, BB 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,3,539,0.0059,514,25,95.36,106.30
"UTG open, HJ call, CO 3bet, UTG call","open, call, 3bet, call",3bet,mixed,3,536,0.0059,527,9,98.32,64.23
"UTG open, CO call, BB 3bet, UTG call, CO call","open, call, 3bet, call, call",3bet,postflop,3,535,0.0059,535,0,100.00,81.42
"UTG open, SB 3bet, BB 4bet","open, 3bet, 4bet",4bet,mixed,3,530,0.0058,14,516,2.64,22.42
"CO open, BU call, SB 3bet, CO 4bet","open, call, 3bet, 4bet",4bet,mixed,3,529,0.0058,14,515,2.65,29.43
"HJ open, CO call, BB 3bet, HJ call, CO call","open, call, 3bet, call, call",3bet,postflop,3,525,0.0058,525,0,100.00,83.05
"UTG open, HJ call, BU 3bet, UTG call","open, call, 3bet, call",3bet,mixed,3,525,0.0058,519,6,98.86,64.22
"HJ limp, BB iso","limp, iso",SRP,preflop only,2,525,0.0058,0,525,0.00,2.44
"UTG open, CO call, SB 3bet, UTG call","open, call, 3bet, call",3bet,mixed,3,522,0.0057,513,9,98.28,73.59
"UTG open, HJ 3bet, UTG 4bet, HJ 5bet","open, 3bet, 4bet, 5bet",5bet+,preflop only,2,516,0.0057,0,516,0.00,41.54
