spot,pattern,level,work,players,hands,pct_hands,flop_hands,preflop_hands,pct_sees_flop,avg_pot_bb
"BU limp, BB check","limp, check",limped,postflop,2,17530,0.1928,17530,0,100.00,4.76
"UTG open, HJ call, BB call","open, call, call",SRP,postflop,3,15092,0.1660,15092,0,100.00,23.75
"UTG open, BB 3bet","open, 3bet",3bet,preflop only,2,14038,0.1544,0,14038,0.00,4.83
"SB limp, BB iso","limp, iso",SRP,preflop only,2,12256,0.1348,0,12256,0.00,2.00
"CO open, BU 3bet, CO 4bet","open, 3bet, 4bet",4bet,preflop only,2,11422,0.1256,0,11422,0.00,15.91
"SB limp, BB iso, SB call","limp, iso, call",SRP,postflop,2,10633,0.1169,10629,4,99.96,19.13
"BU open, SB 3bet, BU 4bet","open, 3bet, 4bet",4bet,preflop only,2,8699,0.0957,0,8699,0.00,20.54
"SB open, BB 3bet, SB 4bet","open, 3bet, 4bet",4bet,preflop only,2,8166,0.0898,0,8166,0.00,17.86
"UTG open, BU call, SB call","open, call, call",SRP,postflop,3,7912,0.0870,7912,0,100.00,25.37
"CO open, BU 3bet, CO 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,2,7645,0.0841,7432,213,97.21,97.85
"HJ open, CO 3bet, HJ 4bet","open, 3bet, 4bet",4bet,preflop only,2,7603,0.0836,0,7603,0.00,15.55
"HJ open, BU call, SB call","open, call, call",SRP,postflop,3,7443,0.0818,7443,0,100.00,24.75
"HJ open, BU 3bet, HJ 4bet","open, 3bet, 4bet",4bet,preflop only,2,7353,0.0809,0,7353,0.00,15.61
"CO open, BU call, SB call","open, call, call",SRP,postflop,3,7110,0.0782,7110,0,100.00,24.27
"HJ open, CO 3bet, HJ 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,2,6108,0.0672,5913,195,96.81,99.37
"BU open, SB call, BB 3bet","open, call, 3bet",3bet,preflop only,3,6081,0.0669,0,6081,0.00,6.86
"HJ open, BU 3bet, HJ 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,2,5868,0.0645,5690,178,96.97,100.29
"UTG open, CO 3bet, UTG 4bet","open, 3bet, 4bet",4bet,preflop only,2,5868,0.0645,0,5868,0.00,15.28
"UTG open, CO 3bet, UTG 4bet, CO call","open, 3bet, 4bet, call",4bet,mixed,2,5588,0.0614,5405,183,96.73,101.13
"UTG open, HJ 3bet, UTG 4bet, HJ call","open, 3bet, 4bet, call",4bet,mixed,2,5577,0.0613,5378,199,96.43,101.18
"UTG open, CO call, SB call","open, call, call",SRP,postflop,3,5570,0.0613,5570,0,100.00,25.50
"UTG open, HJ 3bet, UTG 4bet","open, 3bet, 4bet",4bet,preflop only,2,5424,0.0596,0,5424,0.00,15.34
"UTG open, CO call, BU call","open, call, call",SRP,postflop,3,5396,0.0593,5396,0,100.00,27.34
"HJ open, CO call, SB call","open, call, call",SRP,postflop,3,5312,0.0584,5312,0,100.00,25.04
"CO open, SB 3bet, CO 4bet","open, 3bet, 4bet",4bet,preflop only,2,5296,0.0582,0,5296,0.00,20.17
"SB open, BB 3bet, SB 4bet, BB call","open, 3bet, 4bet, call",4bet,mixed,2,5276,0.0580,4952,324,93.86,111.95
"UTG open, BU 3bet, UTG 4bet","open, 3bet, 4bet",4bet,preflop only,2,5252,0.0578,0,5252,0.00,15.35
"UTG open, BU 3bet, UTG 4bet, BU call","open, 3bet, 4bet, call",4bet,mixed,2,5121,0.0563,4945,176,96.56,101.81
"HJ open, CO call, BU call","open, call, call",SRP,postflop,3,4952,0.0545,4952,0,100.00,26.89
"UTG open, HJ call, SB call","open, call, call",SRP,postflop,3,4752,0.0523,4752,0,100.00,26.76
"UTG limp, SB limp, BB check","limp, limp, check",limped,postflop,3,4692,0.0516,4692,0,100.00,10.18
"UTG open, HJ call, BU call","open, call, call",SRP,postflop,3,4679,0.0515,4679,0,100.00,26.86
"UTG limp, CO iso, UTG call","limp, iso, call",SRP,postflop,2,4519,0.0497,4510,9,99.80,20.97
"BU open, SB 3bet, BU 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,2,4514,0.0496,4309,205,95.46,102.30
"UTG limp, BU iso, UTG call","limp, iso, call",SRP,postflop,2,4502,0.0495,4496,6,99.87,22.13
"BU open, BB 3bet, BU 4bet","open, 3bet, 4bet",4bet,preflop only,2,4405,0.0484,0,4405,0.00,19.97
"UTG limp, HJ iso, UTG call","limp, iso, call",SRP,postflop,2,4369,0.0480,4351,18,99.59,23.67
"CO open, BU call, SB 3bet","open, call, 3bet",3bet,preflop only,3,4318,0.0475,1,4317,0.02,7.79
"CO limp, BU iso, CO call","limp, iso, call",SRP,postflop,2,4265,0.0469,4259,6,99.86,23.21
"HJ limp, BU iso, HJ call","limp, iso, call",SRP,postflop,2,4199,0.0462,4194,5,99.88,23.06
"HJ limp, SB limp, BB check","limp, limp, check",limped,postflop,3,4169,0.0458,4169,0,100.00,10.22
"HJ limp, CO iso, HJ call","limp, iso, call",SRP,postflop,2,4105,0.0451,4100,5,99.88,23.86
"BU limp, SB limp, BB check","limp, limp, check",limped,postflop,3,4017,0.0442,4017,0,100.00,9.69
"BU open, SB 3bet, BB 4bet","open, 3bet, 4bet",4bet,preflop only,3,3938,0.0433,28,3910,0.71,22.00
"CO limp, SB limp, BB check","limp, limp, check",limped,postflop,3,3737,0.0411,3737,0,100.00,9.95
"UTG open, BU call, SB call, BB call","open, call, call, call",SRP,postflop,4,3447,0.0379,3447,0,100.00,33.17
"HJ open, BU call, SB call, BB call","open, call, call, call",SRP,postflop,4,3329,0.0366,3329,0,100.00,32.43
"CO open, BU call, SB call, BB call","open, call, call, call",SRP,postflop,4,3268,0.0359,3268,0,100.00,31.60
"CO open, SB call, BB 3bet","open, call, 3bet",3bet,preflop only,3,3257,0.0358,2,3255,0.06,6.72
"HJ open, BU call, SB 3bet","open, call, 3bet",3bet,preflop only,3,3251,0.0357,6,3245,0.18,7.78
"CO open, SB 3bet, CO 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,2,3232,0.0355,3041,191,94.09,104.77
"HJ open, SB 3bet, HJ 4bet","open, 3bet, 4bet",4bet,preflop only,2,3213,0.0353,0,3213,0.00,19.60
"UTG open, HJ call, CO call","open, call, call",SRP,postflop,3,3209,0.0353,3209,0,100.00,27.87
"BU open, BB 3bet, BU 4bet, BB call","open, 3bet, 4bet, call",4bet,mixed,2,3123,0.0343,2922,201,93.56,103.68
"CO open, BU call, BB 3bet","open, call, 3bet",3bet,preflop only,3,3025,0.0333,1,3024,0.03,7.20
"BU open, SB 3bet, BB call","open, 3bet, call",3bet,postflop,3,2960,0.0325,2946,14,99.53,56.23
"CO open, BU 3bet, SB 4bet","open, 3bet, 4bet",4bet,preflop only,3,2954,0.0325,18,2936,0.61,18.01
"CO open, BU 3bet, BB 4bet","open, 3bet, 4bet",4bet,preflop only,3,2765,0.0304,12,2753,0.43,17.35
"BU limp, SB iso, BU call","limp, iso, call",SRP,postflop,2,2747,0.0302,2742,5,99.82,25.56
"UTG limp, SB iso, UTG call","limp, iso, call",SRP,postflop,2,2715,0.0299,2707,8,99.71,25.33
"HJ open, SB 3bet, HJ 4bet, SB call","open, 3bet, 4bet, call",4bet,mixed,2,2696,0.0296,2536,160,94.07,101.17
"UTG open, BU call, SB 3bet","open, call, 3bet",3bet,preflop only,3,2681,0.0295,6,2675,0.22,7.80
"HJ limp, SB iso, HJ call","limp, iso, call",SRP,postflop,2,2549,0.0280,2543,6,99.76,28.31
"HJ open, CO call, BU 3bet","open, call, 3bet",3bet,preflop only,3,2502,0.0275,1,2501,0.04,8.03
"CO limp, SB iso, CO call","limp, iso, call",SRP,postflop,2,2386,0.0262,2384,2,99.92,25.18
"UTG open, CO call, SB call, BB call","open, call, call, call",SRP,postflop,4,2382,0.0262,2382,0,100.00,31.70
