section,stat,segment,pool_freq_pct,n_opportunities,k_actions,low_n_flag,note
C. Turn,Fold to turn probe (as PFR who checked),3bet · HU,45.333,44074,19980,,
C. Turn,Fold to turn probe (as PFR who checked),3bet · multiway,67.503,8333,5625,,
C. Turn,Fold to turn probe (as PFR who checked),4bet · HU,40.572,3919,1590,,
C. Turn,Fold to turn probe (as PFR who checked),4bet · multiway,54.015,274,148,LOW-N — don't trust,
C. Turn,Fold to turn probe (as PFR who checked),5bet_plus · HU,27.632,76,21,LOW-N — don't trust,
C. Turn,Fold to turn probe (as PFR who checked),5bet_plus · multiway,13.636,22,3,LOW-N — don't trust,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",srp · HU,26.309,817598,215102,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",srp · multiway,17.51,163173,28572,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",3bet · HU,29.482,154693,45606,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",4bet · HU,15.194,31487,4784,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",3bet · multiway,18.899,19292,3646,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",5bet_plus · HU,0.387,19107,74,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",4bet · multiway,8.968,1405,126,,
C. Turn,"Delayed c-bet (PFR checks flop, bets turn)",5bet_plus · multiway,0.503,994,5,,
C. Turn,Fold to delayed c-bet,srp · HU,55.108,199635,110015,,
C. Turn,Fold to delayed c-bet,srp · multiway,70.558,50869,35892,,
C. Turn,Fold to delayed c-bet,3bet · HU,48.85,42571,20796,,
C. Turn,Fold to delayed c-bet,3bet · multiway,66.907,6388,4274,,
C. Turn,Fold to delayed c-bet,4bet · HU,40.96,4519,1851,,
C. Turn,Fold to delayed c-bet,4bet · multiway,57.205,229,131,LOW-N — don't trust,
C. Turn,Fold to delayed c-bet,5bet_plus · HU,33.824,68,23,LOW-N — don't trust,
C. Turn,Fold to delayed c-bet,5bet_plus · multiway,50.0,10,5,LOW-N — don't trust,
C. Turn,Turn check-raise,srp · HU,7.574,457448,34649,,
C. Turn,Turn check-raise,srp · multiway,5.816,133412,7759,,
C. Turn,Turn check-raise,3bet · HU,10.929,125660,13734,,
C. Turn,Turn check-raise,limped · HU,3.679,23242,855,,
C. Turn,Turn check-raise,3bet · multiway,8.475,16731,1418,,
C. Turn,Turn check-raise,4bet · HU,13.597,14091,1916,,
C. Turn,Turn check-raise,limped · multiway,3.95,11771,465,,
C. Turn,Turn check-raise,4bet · multiway,7.387,555,41,,
C. Turn,Turn check-raise,5bet_plus · HU,13.089,191,25,LOW-N — don't trust,
C. Turn,Turn check-raise,5bet_plus · multiway,15.0,20,3,LOW-N — don't trust,
C. Turn,Fold to turn raise (after betting),srp · HU,46.783,71233,33325,,
C. Turn,Fold to turn raise (after betting),3bet · HU,40.671,26449,10757,,
C. Turn,Fold to turn raise (after betting),srp · multiway,44.567,17578,7834,,
C. Turn,Fold to turn raise (after betting),4bet · HU,33.557,3877,1301,,
C. Turn,Fold to turn raise (after betting),3bet · multiway,35.753,2990,1069,,
C. Turn,Fold to turn raise (after betting),limped · HU,43.859,2410,1057,,
C. Turn,Fold to turn raise (after betting),limped · multiway,43.038,1264,544,,
C. Turn,Fold to turn raise (after betting),4bet · multiway,35.088,114,40,LOW-N — don't trust,
C. Turn,Fold to turn raise (after betting),5bet_plus · HU,26.087,46,12,LOW-N — don't trust,
C. Turn,Fold to turn raise (after betting),5bet_plus · multiway,0.0,6,0,LOW-N — don't trust,
D. River,Triple barrel (river c-bet),srp · HU,40.383,240233,97013,,
D. River,Triple barrel (river c-bet),3bet · HU,41.612,80951,33685,,
D. River,Triple barrel (river c-bet),srp · multiway,40.453,34546,13975,,
D. River,Triple barrel (river c-bet),4bet · HU,36.322,11723,4258,,
D. River,Triple barrel (river c-bet),3bet · multiway,35.761,5699,2038,,
D. River,Triple barrel (river c-bet),4bet · multiway,25.63,238,61,LOW-N — don't trust,
D. River,Triple barrel (river c-bet),5bet_plus · HU,30.0,170,51,LOW-N — don't trust,
D. River,Triple barrel (river c-bet),5bet_plus · multiway,60.0,5,3,LOW-N — don't trust,
D. River,Triple barrel — size mix,large,100.0,48840,48840,,"read N, not the frequency"
D. River,Triple barrel — size mix,mid,100.0,30198,30198,,"read N, not the frequency"
D. River,Triple barrel — size mix,overbet,100.0,27711,27711,,"read N, not the frequency"
D. River,Triple barrel — size mix,small,100.0,25566,25566,,"read N, not the frequency"
D. River,Triple barrel — size mix,pot,100.0,18769,18769,,"read N, not the frequency"
D. River,Fold to river c-bet,srp · HU · OOP,61.405,153563,94295,,
D. River,Fold to river c-bet,srp · HU · IP,54.206,94596,51277,,
D. River,Fold to river c-bet,3bet · HU · IP,49.043,41225,20218,,
D. River,Fold to river c-bet,3bet · HU · OOP,56.634,32622,18475,,
D. River,Fold to river c-bet,srp · MW · OOP,68.257,28567,19499,,
D. River,Fold to river c-bet,srp · MW · IP,58.397,17119,9997,,
D. River,Fold to river c-bet,4bet · HU · IP,45.749,6798,3110,,
D. River,Fold to river c-bet,3bet · MW · OOP,60.457,4112,2486,,
D. River,Fold to river c-bet,4bet · HU · OOP,55.717,2344,1306,,
D. River,Fold to river c-bet,3bet · MW · IP,54.592,1742,951,,
D. River,Fold to river c-bet,4bet · MW · OOP,50.0,106,53,LOW-N — don't trust,
D. River,Fold to river c-bet,4bet · MW · IP,55.172,87,48,LOW-N — don't trust,
D. River,Fold to river c-bet,5bet_plus · HU · IP,36.508,63,23,LOW-N — don't trust,
D. River,Fold to river c-bet,5bet_plus · HU · OOP,51.667,60,31,LOW-N — don't trust,
D. River,Fold to river c-bet,5bet_plus · MW · OOP,20.0,5,1,LOW-N — don't trust,
D. River,Fold to river c-bet,5bet_plus · MW · IP,50.0,2,1,LOW-N — don't trust,
D. River,Fold to river bet — by size faced,mid,62.26,194715,121230,,'overbet' = >110% pot
D. River,Fold to river bet — by size faced,small,50.387,164024,82646,,'overbet' = >110% pot
D. River,Fold to river bet — by size faced,large,73.16,21852,15987,,'overbet' = >110% pot
D. River,Fold to river bet — by size faced,pot,79.072,2413,1908,,'overbet' = >110% pot
D. River,Fold to river bet — by size faced,overbet,0.0,7,0,LOW-N — don't trust,'overbet' = >110% pot
D. River,River probe (turn checked through),srp · HU,32.976,546281,180139,,
D. River,River probe (turn checked through),srp · multiway,21.987,156671,34448,,
D. River,River probe (turn checked through),3bet · HU,30.702,143520,44064,,
D. River,River probe (turn checked through),limped · HU,22.545,72736,16398,,
D. River,River probe (turn checked through),4bet · HU,12.057,34046,4105,,
D. River,River probe (turn checked through),limped · multiway,18.328,22375,4101,,
D. River,River probe (turn checked through),3bet · multiway,20.938,20527,4298,,
D. River,River probe (turn checked through),5bet_plus · HU,0.233,19303,45,,
D. River,River probe (turn checked through),4bet · multiway,5.098,2393,122,,
D. River,River probe (turn checked through),5bet_plus · multiway,0.31,1938,6,,
D. River,Fold to river probe (as PFR),srp · HU,63.859,180139,115035,,
D. River,Fold to river probe (as PFR),3bet · HU,59.711,44064,26311,,
D. River,Fold to river probe (as PFR),srp · multiway,71.78,29291,21025,,
D. River,Fold to river probe (as PFR),4bet · HU,57.247,4105,2350,,
D. River,Fold to river probe (as PFR),3bet · multiway,66.297,3881,2573,,
D. River,Fold to river probe (as PFR),4bet · multiway,50.877,114,58,LOW-N — don't trust,
D. River,Fold to river probe (as PFR),5bet_plus · HU,33.333,45,15,LOW-N — don't trust,
D. River,Fold to river probe (as PFR),5bet_plus · multiway,0.0,7,0,LOW-N — don't trust,
D. River,River raise (facing a bet),srp · HU,7.647,562648,43023,,
D. River,River raise (facing a bet),3bet · HU,7.688,152572,11729,,
D. River,River raise (facing a bet),srp · multiway,7.069,144590,10221,,
D. River,River raise (facing a bet),limped · HU,6.554,27005,1770,,
D. River,River raise (facing a bet),3bet · multiway,6.609,17566,1161,,
