section,stat,segment,pool_freq_pct,n_opportunities,k_actions,low_n_flag,note
E. Summary,Aggression frequency — flop,all,49.627,5129448,2545613,,(bet+raise) / (bet+raise+call+fold)
E. Summary,Aggression frequency — turn,all,49.871,3214322,1603016,,(bet+raise) / (bet+raise+call+fold)
E. Summary,Aggression frequency — river,all,50.807,1899381,965013,,(bet+raise) / (bet+raise+call+fold)
E. Summary,Average players to flop,all,2.206,54443970,0,,
E. Summary,Pot-type share (of hands that saw a flop),srp,100.0,5290612,5290612,,read N — share of flops by pot type
E. Summary,Pot-type share (of hands that saw a flop),3bet,100.0,1336617,1336617,,read N — share of flops by pot type
E. Summary,Pot-type share (of hands that saw a flop),limped,100.0,386735,386735,,read N — share of flops by pot type
E. Summary,Pot-type share (of hands that saw a flop),4bet,100.0,186630,186630,,read N — share of flops by pot type
E. Summary,Pot-type share (of hands that saw a flop),5bet_plus,100.0,43330,43330,,read N — share of flops by pot type
E. Summary,Multiway share (of flops),all,18.159,7243924,1315402,,3+ players to the flop
F. Per-stake split,VPIP,NL10,22.82,17811558,4064553,,
F. Per-stake split,VPIP,NL25,22.826,36632412,8361681,,
F. Per-stake split,PFR,NL10,16.759,17811558,2985109,,
F. Per-stake split,PFR,NL25,16.76,36632412,6139701,,
F. Per-stake split,3bet%,NL10,7.973,6804731,542537,,
F. Per-stake split,3bet%,NL25,7.909,14011581,1108170,,
F. Per-stake split,Fold to 3bet,NL10,52.153,544436,283941,,
F. Per-stake split,Fold to 3bet,NL25,53.2,1112460,591830,,
F. Per-stake split,C-bet flop,NL10,56.582,1054501,596659,,
F. Per-stake split,C-bet flop,NL25,56.663,2159296,1223517,,
F. Per-stake split,Fold to flop c-bet,NL10,43.023,650095,279692,,
F. Per-stake split,Fold to flop c-bet,NL25,42.944,1328996,570725,,
F. Per-stake split,Fold to turn c-bet,NL10,48.289,266181,128535,,
F. Per-stake split,Fold to turn c-bet,NL25,49.123,539952,265243,,
F. Per-stake split,Fold to river c-bet,NL10,57.441,125596,72143,,
F. Per-stake split,Fold to river c-bet,NL25,58.127,257415,149628,,
F. Per-stake split,WTSD,NL10,30.458,2377738,724208,,
F. Per-stake split,WTSD,NL25,30.287,4866186,1473845,,
F. Per-stake split,W$SD,NL10,51.96,733330,381038,,
F. Per-stake split,W$SD,NL25,52.033,1494475,777614,,
